Year,United States,Russia,Iran,China,Canada,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Cameroon,Chile,Colombia,Congo,Cote d'Ivoire,Croatia,Cuba,Czechia,Czechoslovakia,Denmark,East Timor,Ecuador,Egypt,Equatorial Guinea,France,Gabon,Georgia,Germany,Ghana,Greece,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Malaysia,Mexico,Moldova,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Qatar,Romania,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yemen,Yugoslavia
1933,2.264848668,,0,0,0.033638728,0,0,0,0,0.015039037,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.028108951,0,0,0,0,0.001589471,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.015688837,0,0.055875308,0,,,,,,0,0.005273417,0,0,0,,,0,0.008241273,0,0,,0.049478652,0,0,0,,0,,2.47778244,,0
1934,2.34819054,,0,0,0.034596216,0,0,0,0,0.016202197,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.030652488,0,0,0,0,0.001679781,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.015943062,0,0.06205383,0,,,,,,0,0.0056006,0,0,0,,,0,0.008852339,0,0,,0.057059258,0,0,0,,0,,2.580830424,,0
1935,2.43153252,,0,0,0.035553701,0,0,0,0,0.017365357,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.033196021,0,0,0,0,0.001770092,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.016197288,0,0.068232348,0,,,,,,0,0.005927783,0,0,0,,,0,0.009463403,0,0,,0.064639868,0,0,0,,0,,2.68387848,,0
1936,2.514874428,,0,0,0.036511186,0,0,0,0,0.018528518,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0.035739554,0,0,0,0,0.001860403,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0.016451513,0,0.074410866,0,,,,,,0,0.006254965,0,0,0,,,0,0.010074469,0,0,,0.072220475,0,0,0,,0,,2.786926464,,0
1937,2.5982163,,0,0,0.037468674,0,0,0,0,0.019691678,0,0,,0,0,0,,0,0,,0,0.003017296,0,,0,0.023103259,,,,,,0,0,,0.001734228,0,,0,,,0,,0,0,0,0.038283091,0,0,0,0,0.001950714,,,0,,0,0,0.03867759,,0,,0,0,0,0,0,0,0,,0,,0.016705739,0,0.080589384,0,,,,,,0,0.006582148,0,0,0.001647517,,,0,0.010685534,0,0,,0.079801074,0,0,0,,0.031723042,,2.9898774,,0
1938,2.81927376,,0,0,0.039669952,0,0,0,0,0.019931926,0,0,,0,0,0,,0,0,,0,0,0,,0,0.023650825,,,,,,0,0,,0.001859478,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001896527,,,0,,0,0,0.038871256,,0,,0,0,0,0,0,0,0,,0,,0.015368445,0,0.077598626,0,,,,,,0,0.006817912,0,0,0,,,0,0.01143059,0,0,,0.086442894,0,0,0,,0.032201654,,3.17501388,,0
1939,3.0403314,,0,0,0.041871231,0,0,0,0,0.020172172,0,0,,0,0,0,,0,0,,0,0,0,,0,0.02419839,,,,,,0,0,,0.001984728,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001842341,,,0,,0,0,0.039064921,,0,,0,0,0,0,0,0,0,,0,,0.014031149,0,0.074607865,0,,,,,,0,0.007053676,0,0,0,,,0,0.012175645,0,0,,0.093084714,0,0,0,,0.032680267,,3.40309836,,0
1940,3.26138886,,0,0,0.044072507,0,0,0,0,0.020412419,0,0,,0,0,0,,0,0,,0,0,0,,0,0.024745957,,,,,,0,0,,0.002109978,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001788154,,,0,,0,0,0.039258587,,0,,0,0,0,0,0,0,0,,0,,0.012693854,0,0.0716171,0,,,,,,0,0.007289441,0,0,0,,,0,0.0129207,0,0,,0.099726534,0,0,0,,0.033158884,,3.63118284,,0
1941,3.48244632,,0,0,0.046273784,0,0,0,0,0.020652667,0,0,,0,0,0,,0,0,,0,0,0,,0,0.025293523,,,,,,0,0,,0.002235228,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001733968,,,0,,0,0,0.039452252,,0,,0,0,0,0,0,0,0,,0,,0.01135656,0,0.068626339,0,,,,,,0,0.007525205,0,0,0,,,0,0.013665756,0,0,,0.10636835,0,0,0,,0.033637496,,3.85926732,,0
1942,3.7035036,,0,0,0.048475066,0,0,0,0,0.020892915,0,0,,0,0,0,,0,0,,0,0,0,,0,0.025841088,,,,,,0,0,,0.002360478,0,,0,,,0,,0,0,0,0,0,0,0,0,0.001679781,,,0,,0,0,0.039645914,,0,,0,0,0,0,0,0,0,,0,,0.010019264,0,0.065635578,0,,,,,,0,0.007760969,0,0,0,,,0,0.014410811,0,0,,0.11301017,0,0,0,,0.034116109,,4.0873518,,0
